Name,Price,Rating,Link
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black",11999,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL14GMFJNAFAMZ-87664542&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),15999,3.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0JMKO7NAFAMZ-91068336&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo Refurbished Thinkpad 11E Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black (6 Months WRTY),11899,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0LTS9ENAFAMZ-85609325&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo Refurbished Thinkpad X131e - 11.6"" - Intel Dual-Ccore - 4GB RAM - 320GB HDD - Black (6 Months WRTY)",11899,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL2FRG97NAFAMZ-155880988&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 256GB SSD 12.5'' Black (6M WRTY),15999,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL269WDKNAFAMZ-161154320&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo Refurbished Thinkpad X131e 11.55"" AMD 4G RAM, 320GB HDD - Black + FREE Wireless Mouse",20300,3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0V90YVNAFAMZ-69965964&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6M WRTY),15999,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL18BLP1NAFAMZ-91576430&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo ThinkPad T440P, Core I5, 8GB Ram, 128GB SSD, Windows 10 Pro 64bit",28000,1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL2RF64LNAFAMZ-205972550&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo Refurbished Thinkpad X250 Intel Core I5 - 8 GB RAM - 1TB HDD 12.5'' Black (6 Months WRTY),18998,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0Q411BNAFAMZ-51361026&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen, 11.6""- 4GB RAM - 500GB - Black (6M WRTY)",13989,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL1VATCHNAFAMZ-206109097&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo Refurbished Thinkpad X131e 12.5"" Intel Celeron 4G RAM, 320GB HDD + Free Mouse & Flash Disk",19999,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL0SAOHVNAFAMZ-70306705&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo ThinkPad T480s,Core I7-8th Gen,16GB RAM, 256GB SSD, Windows 10 Pro",49199,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL2H92YVNAFAMZ-206978875&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo Refurbished Thinkpad X250 Intel Core I5 4 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),14999,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL013A94NAFAMZ-35273033&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo IdeaPad 3 -11th Gen Intel Core I5-1135G7 @2.4GHz 8GB RAM 512GB SSD 14"" BRAND NEW",84499,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL24FN4ONAFAMZ-164466122&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
Lenovo XT88 Bluetooth 5.3 Earbuds Earphones Headset,1299,4.2 out of 5,https://www.jumia.co.ke/lenovo-xt88-bluetooth-5.3-earbuds-earphones-headset-168408802.html
Lenovo Refurbished11e Yoga Core I3 8gb Ram + 128gb Ssd (6M WRTY),20400,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL29TUEINAFAMZ-161798823&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo Refurbished Thinkpad X131e 12.5"" Intel Celeron 4G RAM, 320GB Hard Disk - Black",20999,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL08MJZBNAFAMZ-69965981&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo X131e 4gb ram 128gb ssd ,windows 11pro installed activated , office 2021 activated , basic software installed+ free wireless mouse",18900,No Ratings,https://www.jumia.co.ke/lenovo-x131e-4gb-ram-128gb-ssd-windows-11pro-installed-activated-office-2021-activated-basic-software-installed-free-wireless-mouse-196760232.html
"Lenovo Refurbished Thinkpad X280 Intel Core I5 8th Gen , 8GB RAM 256GB SSD, 12.5'' Black (6 Months WRTY)",34899,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL346J8BNAFAMZ-154017056&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
"Lenovo ThinkPad T480s,Core I7-8th Gen,16GB RAM, 256GB SSD, refurb Windows 10 Pro",44999,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=LE842CL4TLZ2BNAFAMZ-407097906&return=%2Fcatalog%2F%3Fq%3DLenovo%26page%3D1
