Brand,Price,Rating,Link
"(SPECIAL OFFER)  LENOVO YOGA 11E  4GB RAM 128GB SSD  2 IN 1  TOUCHSCREEN  X360 LAPTOP REFURBISHED  LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO AND FREE MOUSE",11999,(119),https://www.kilimall.co.ke//listing/2855837-special-offer-lenovo-yoga-11e-4gb-ram-128gb-ssd-2-in-1-touchscreen-x360-laptop-refurbished-laptop-black-12-inch-installed-windows-10-pro-and-free-mouse?skuId=19422625
Lenovo Thinkplus TH10 Bluetooth Headphones HIFI Wireless Earphones   Music with Microphones 3.5MM AUX for Mobile Smart phones Android IOS,1999,(219),https://www.kilimall.co.ke//listing/2647310-lenovo-thinkplus-th10-bluetooth-headphones-hifi-wireless-earphones-music-with-microphones-35mm-aux-for-mobile-smart-phones-android-ios?skuId=18745334
Lenovo Thinkplus 128GB USB Flash Drives U disk MU221 USB2.0  U disk Portable Shockproof Metal USB Flash Drive,429,(598),https://www.kilimall.co.ke//listing/2776521-lenovo-thinkplus-128gb-usb-flash-drives-u-disk-mu221-usb20-u-disk-portable-shockproof-metal-usb-flash-drive?skuId=19342081
"Lenovo S-02 2.5-inch SATA HDD/SSD Enclosure - USB 3.0 Interface, 5Gbps Transfer Speed, 6TB Capacity Support - Black",599,(54),https://www.kilimall.co.ke//listing/2893807-lenovo-s02-25inch-sata-hddssd-enclosure-usb-30-interface-5gbps-transfer-speed-6tb-capacity-support-black?skuId=19525866
Lenovo Thinkplus HE05/HE05X Bluetooth Earphones Neck Hanging Super Bass Sports Earphones with Mic Wireless Headphone for Android IOS with charging cable Black,599,(315),https://www.kilimall.co.ke//listing/2647316-lenovo-thinkplus-he05he05x-bluetooth-earphones-neck-hanging-super-bass-sports-earphones-with-mic-wireless-headphone-for-android-ios-with-charging-cable-black?skuId=18745351
Lenovo Thinkplus 128GB High Speed TF Card Micro SD Card Memory Cards Class 10 Card  Memory Card For Camera Smartphones Adapter Android Phones,469,(362),https://www.kilimall.co.ke//listing/2722490-lenovo-thinkplus-128gb-high-speed-tf-card-micro-sd-card-memory-cards-class-10-card-memory-card-for-camera-smartphones-adapter-android-phones?skuId=19511969
Lenovo Thinkplus XT88 Earpods Bluetooth Earphones TWS Wireless Earphone Bluetooth 5.3 Dual Stereo Noise Reduction Bass Touch Control Long Standby headset,1399,(371),https://www.kilimall.co.ke//listing/2671475-lenovo-thinkplus-xt88-earpods-bluetooth-earphones-tws-wireless-earphone-bluetooth-53-dual-stereo-noise-reduction-bass-touch-control-long-standby-headset?skuId=18837378
Lenovo ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,19999,(0),https://www.kilimall.co.ke//listing/1000334605-lenovo-thinkpad-x270-intel-core-i5refurbished8gb-ram-256gb-ssd-windows-10-pro-laptop?skuId=10001161488
"**Lenovo ThinkPad **
## **A reliable and durable business laptop with the following key features:**
* **Processor:** Intel Core i5-5300 2.3GHz
* **RAM:** 8GB DDR3
* **Storage: **500GB HDD
* **Disp",19750,(0),https://www.kilimall.co.ke//listing/1000394307-lenovo-thinkpad-a-reliable-and-durable-business-laptop-with-the-following-key-features-processor-intel-core-i55300-23ghz-ram-8gb-ddr3-storage-500gb-hdd-disp?skuId=10001494611
(BLACK FRIDAY OFFER)  LENOVO YOGA 11E CELERON 8GB RAM+ 128GB SSD/ TOUCHSCREEN / X360/ WINDOWS 11 PRO / 5TH GENERATION+1 YEAR WARRANTY +FREE MOUSE,15999,(18),https://www.kilimall.co.ke//listing/1000251512-black-friday-offer-lenovo-yoga-11e-celeron-8gb-ram-128gb-ssd-touchscreen-x360-windows-11-pro-5th-generation1-year-warranty-free-mouse?skuId=10000756886
