Name,Price,Rating,Link
5 Pcs Bamboo Cooking/Serving Spoon Mwiko Set With Holder,550,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840TG4036DVNAFAMZ-402035383&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
Baby Fruit Double-headed Mud Scraping Food Spoon Blue,191,No Ratings,https://www.jumia.co.ke/generic-baby-fruit-double-headed-mud-scraping-food-spoon-blue-243122645.html
Fashion 8 pc Newborn receiving set.,1689,No Ratings,https://www.jumia.co.ke/generic-fashion-8-pc-newborn-receiving-set.-213451494.html
Mama Kids Classy Isofix car seat with 360 rotation.,27500,No Ratings,https://www.jumia.co.ke/mama-kids-classy-isofix-car-seat-with-360-rotation.-284011245.html
Reclining Baby Car Seat & Booster With Base - Black/ Red,16000,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CO612CA0PSAMHNAFAMZ-91634596&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
Reclining Baby Car Seat & Booster With Base - Black/ Red,16000,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CO612CA01YYFDNAFAMZ-91634592&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
Baby Fruit Double-head Mud Scraping Spoon Stainless Steel,191,4 out of 5,https://www.jumia.co.ke/generic-baby-fruit-double-head-mud-scraping-spoon-stainless-steel-243122495.html
Strong Reclining Infant Car Seat & Booster With A Base- Black /Blue (0-7Yrs),17000,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=CO612CA3GW1VSNAFAMZ-380429990&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
Fashion 8PCS  NEW BORN BABY RECEIVING SET,1690,No Ratings,https://www.jumia.co.ke/generic-fashion-8pcs-new-born-baby-receiving-set-214764233.html
Mama Kids Modern baby Isofix car seat with 360 rotation,27500,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=MA787CA421V7SNAFAMZ-414008805&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
Aptamil Baby Formula 800gms (No. 1),3779,4.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=AP944FF17HD8LNAFAMZ-99056304&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
New model baby isofix car seat with 360 rotation,25000,No Ratings,https://www.jumia.co.ke/cool-baby-new-model-baby-isofix-car-seat-with-360-rotation-284011515.html
Aptamil Baby Formula 800gms (No. 2),3779,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=AP944FF0PMD39NAFAMZ-99056302&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
SIT-ME UP PILLOW,4199,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840CA2A6HRLNAFAMZ-182421815&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
Sleek design Isofix car seat with 360 degree rotation,26000,No Ratings,https://www.jumia.co.ke/cool-baby-sleek-design-isofix-car-seat-with-360-degree-rotation-284457025.html
Strong Reclining Infant Car Seat & Booster With A Base- Black /Red (0-7Yrs),14399,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=CO612CA0CKEM7NAFAMZ-70201812&return=%2Fcatalog%2F%3Fq%3Dbaby%2Bproducts%26page%3D1
