Name,Price,Rating,Link
"HP Refurbished EliteBook 8470p Core I5 - HDD 1TB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)",17499,3.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL223V54NAFAMZ-161154350&return=%2Fcatalog%2F%3Fq%3Dhp%26page%3D1
"HP Chromebook 11A G8 EE AMD A4-Storage 4GB / 32GB EMMC 11.6-inch  HD Webcam - WiFi, Chrome OS - Refurb.  (6 Months WRTY)",10299,3 out of 5,https://www.jumia.co.ke/hp-chromebook-11a-g8-ee-amd-a4-storage-4gb-32gb-emmc-11.6-inch-hd-webcam-wifi-chrome-os-refurb.-6-months-wrty-268445200.html
"HP 11 G6 EE 11.6"" LCD Chromebook - Intel Celeron N3350 Dual-core - 4GB LPDDR4 -16GB SSD - WiFi- Camera - Type C- Chrome OS - Refurb  (6 Months WRTY)",8599,4 out of 5,https://www.jumia.co.ke/hp-11-g6-ee-11.6-lcd-chromebook-intel-celeron-n3350-dual-core-4gb-lpddr4-16gb-ssd-wifi-camera-type-c-chrome-os-refurb-6-months-wrty-268737171.html
HP 21.5’’ (54.6 Cm) EliteDisplay E223 IPS LED Backlit FHD Anti-Glare Computer Monitor With Pivot Rotation (Black/Silver) Looks New Refurbished,9999,No Ratings,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246EA3FU1TKNAFAMZ-409775550&return=%2Fcatalog%2F%3Fq%3Dhp%26page%3D1
HP Chromebook 11 G8 Intel Celeron N4020 Storage 32GB/4GB RAM Bluetooth WiFi HD Webcam Refurb.(6 Months WRTY),10299,1 out of 5,https://www.jumia.co.ke/hp-chromebook-11-g8-intel-celeron-n4020-storage-32gb4gb-ram-bluetooth-wifi-hd-webcam-refurb.6-months-wrty-268456861.html
HP Refurbished 6th Generation EliteBook 840 G3 Core I5-8GB - 256GB Ssd - Win 10 - Silver,22100,3.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246EL0LHDWFNAFAMZ-40044626&return=%2Fcatalog%2F%3Fq%3Dhp%26page%3D1
"HP EliteBook 840 G4 Intel Core I7 7Th Gen,16GB Ram,256GB SSD, Windows 10 Pro",39449,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2XDI6DNAFAMZ-205972551&return=%2Fcatalog%2F%3Fq%3Dhp%26page%3D1
"HP Chromebook 11 G5 &ndash; Storage 4GB RAM  /  16GB SSD -11.6"" - Intel Celeron N3060 HDMI - HD Camera - Chrome OS -Refurb,  (6 Months WRTY)",8999,3.3 out of 5,https://www.jumia.co.ke/hp-chromebook-11-g5-ndash-storage-4gb-ram-16gb-ssd-11.6-intel-celeron-n3060-hdmi-hd-camera-chrome-os-refurb-6-months-wrty-167143569.html
"HP EliteBook 840 G4 Intel Core I7 7Th Gen,8GB Ram,256GB SSD, Windows 10 Pro",33949,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=HP246CL2AI0W3NAFAMZ-206839365&return=%2Fcatalog%2F%3Fq%3Dhp%26page%3D1
"HP  Touchscreen Chromebook Laptop 11 G5 11.6"" - Intel Celeron N3060 – Storage 4GB RAM – 16GB SSD eMMC- HDMI - HD Camera - Refurb",11999,No Ratings,https://www.jumia.co.ke/hp-touchscreen-chromebook-laptop-11-g5-11.6-intel-celeron-n3060-storage-4gb-ram-16gb-ssd-emmc-hdmi-hd-camera-refurb-281769337.html
