Name,Price,Rating,Link
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 7",9990,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP2D76ARNAFAMZ-197798985&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Lake Cyan",13599,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4UZBZYNAFAMZ-355787478&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue",13599,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4FFX3YNAFAMZ-355787405&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange",13599,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP3HKCSENAFAMZ-355787437&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green",5277,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4HAD32NAFAMZ-355787443&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
Itel TWS BudsAce Earbuds Earpods ENC Super Bass 35 Hours,930,4.4 out of 5,https://www.jumia.co.ke/itel-tws-budsace-earbuds-earpods-enc-super-bass-35-hours-215779593.html
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Morion Grey",5277,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP3OPK1QNAFAMZ-355787461&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel 2163, 1.8""screen  1000mAh, Bright Torch...Wireless FM- Dual Sim//Blue",1118,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP0O6889NAFAMZ-73707981&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 8",10980,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP2J5ICJNAFAMZ-197798986&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Vert Menthe",11999,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4XAX9ANAFAMZ-355787408&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+SMARTNETS 9",10190,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP1UGY59NAFAMZ-196812991&return=%2Fcatalog%2F%3Fq%3Ditel%26page%3D1
Itel Itel1.83'' Sones SmartWatch NativeStorm WaterProof,1457,4.2 out of 5,https://www.jumia.co.ke/itel-itel1.83-sones-smartwatch-nativestorm-waterproof-215779600.html
