Brand,Price,Rating,Link
Itel S23 Plus 128GB + 8(4+4)GB RAM 6.78'' Curved Screen Brand New Dual SIM 4G Phone 50MP+32MP AI Camera 5000mAh 18W Charging Under Display Fingerprint NFC S23+ Smart Phones,12999,(69),https://www.kilimall.co.ke//listing/3000123-itel-s23-plus-128gb-844gb-ram-678-curved-screen-brand-new-dual-sim-4g-phone-50mp32mp-ai-camera-5000mah-18w-charging-under-display-fingerprint-nfc-s23-smart-phones?skuId=10000259121
"Itel A70 128GB+8(3+5)GB RAM 6.6"" Screen Brand New Phone 4G Network Dual SIM 13MP Camera 5000mAh Battery Fingerprint And Face Unlock Fashion Smart Phones",9350,(522),https://www.kilimall.co.ke//listing/2988603-itel-a70-128gb835gb-ram-66-screen-brand-new-phone-4g-network-dual-sim-13mp-camera-5000mah-battery-fingerprint-and-face-unlock-fashion-smart-phones?skuId=19778059
ITEL it2163 1000mAh Long Lasting Battery Dual Sim FM Radio Bluetooth Caller  Support 9 Language Feature Phones,1180,(2),https://www.kilimall.co.ke//listing/1000374968-itel-it2163-1000mah-long-lasting-battery-dual-sim-fm-radio-bluetooth-caller-support-9-language-feature-phones?skuId=10001390211
"[New Launch] Itel P55 Up To 24GB(8+16) RAM+128GB 6.6""  Phone Dual SIM 4G LTE Network 50MP+8MP Camera 18W Fast Charging 5000mAh Baterry Fingerprint And Face Unlock  Smart Phones",10599,(0),https://www.kilimall.co.ke//listing/1000418514-new-launch-itel-p55-up-to-24gb816-ram128gb-66-phone-dual-sim-4g-lte-network-50mp8mp-camera-18w-fast-charging-5000mah-baterry-fingerprint-and-face-unlock-smart-phones?skuId=10001582685
"[New Launch] Itel A80 128GB+8(4+4)GB RAM 6.7"" 120Hz Screen 4G Network Dual SIM Phone 50MP Camera 5000mAh Battery Fingerprint and Face Unlock Android 14 Fashion Smart Phones",10799,(0),https://www.kilimall.co.ke//listing/1000401521-new-launch-itel-a80-128gb844gb-ram-67-120hz-screen-4g-network-dual-sim-phone-50mp-camera-5000mah-battery-fingerprint-and-face-unlock-android-14-fashion-smart-phones?skuId=10001519111
"[Focus Camera: 108MP] Itel S24 128GB+8(4+4)GB RAM 6.6"" 90HZ Screen Dual SIM 4G Network Phone Fingerprint Unlock 18W 5000 mAh Battery Android 13 MTK Helio G91 Ultra Smart Phones",13399,(15),https://www.kilimall.co.ke//listing/1000165476-focus-camera-108mp-itel-s24-128gb844gb-ram-66-90hz-screen-dual-sim-4g-network-phone-fingerprint-unlock-18w-5000-mah-battery-android-13-mtk-helio-g91-ultra-smart-phones?skuId=10000415129
"Refurbished itel A24 2GB RAM 32GB ROM 5inch "" 2400 mAh Single SIM 5MP+2MP Android Smartphones/ Mobile Phones",3999,(2),https://www.kilimall.co.ke//listing/1000309541-refurbished-itel-a24-2gb-ram-32gb-rom-5inch-2400-mah-single-sim-5mp2mp-android-smartphones-mobile-phones?skuId=10001065946
"[25 Months Warranty+Free Charging Case] Itel P65 128GB + 8(4+4)GB RAM 6.7"" Screen 120Hz 4G Dual SIM Brand New Phone 7400mAh Battery 18W Charging 50MP Camera Side Fingerprint Android 14 NFC Smartphones",12299,(3),https://www.kilimall.co.ke//listing/1000335740-25-months-warrantyfree-charging-case-itel-p65-128gb-844gb-ram-67-screen-120hz-4g-dual-sim-brand-new-phone-7400mah-battery-18w-charging-50mp-camera-side-fingerprint-android-14-nfc-smartphones?skuId=10001166659
"itel 5027 2.4"" Dual SIM Feature Phones kabambe Katululu Camera Torch 2500 MAh Battery wireless FM Feature Phone",1599,(0),https://www.kilimall.co.ke//listing/1000375025-itel-5027-24-dual-sim-feature-phones-kabambe-katululu-camera-torch-2500-mah-battery-wireless-fm-feature-phone?skuId=10001390523
"[Black Friday Deals]  Itel A18S 32GB Storage 4(2+2)GB RAM 3000mAh 5"" HD Screen Phone + Dual Camera Fingerprint Dual SIM 3G Network Smart Mobile Phones",5999,(35),https://www.kilimall.co.ke//listing/3025459-black-friday-deals-itel-a18s-32gb-storage-422gb-ram-3000mah-5-hd-screen-phone-dual-camera-fingerprint-dual-sim-3g-network-smart-mobile-phones?skuId=19886634
"Itel A06 3G Network 32GB+(2+2)4GB RAM 6.6"" Screen Phone Dual SIM 8MP+5MP Camera  4000mAh Baterry Fingerprint And Face Unlock Smart Phones",7499,(5),https://www.kilimall.co.ke//listing/1000254555-itel-a06-3g-network-32gb224gb-ram-66-screen-phone-dual-sim-8mp5mp-camera-4000mah-baterry-fingerprint-and-face-unlock-smart-phones?skuId=10000784153
"Itel A50 64GB+(2+4)6GB RAM 6.6"" Screen Phone Dual SIM 8MP+5MP Camera  5000mAh Baterry Fingerprint And Face Unlock Smart Phones",8669,(25),https://www.kilimall.co.ke//listing/1000199030-itel-a50-64gb246gb-ram-66-screen-phone-dual-sim-8mp5mp-camera-5000mah-baterry-fingerprint-and-face-unlock-smart-phones?skuId=10000534294
"Itel S23 6.6"", 4GB RAM + 128GB, 50MP, 4G, 5000mAh - Mystery (White)+Smartwatch+Pods",10399,(1),https://www.kilimall.co.ke//listing/1000341122-itel-s23-66-4gb-ram-128gb-50mp-4g-5000mah-mystery-whitesmartwatchpods?skuId=10001185060
"SPECIAL OFFER itel 2163 1.8"" Dual SIM Feature Phones kabambe Katululu Camera Torch 1000 MAh Battery wireless FM",1399,(1),https://www.kilimall.co.ke//listing/1000333044-special-offer-itel-2163-18-dual-sim-feature-phones-kabambe-katululu-camera-torch-1000-mah-battery-wireless-fm?skuId=10001154841
"itel Flip 1 2.4"", Folding Phone, 1200mAh, Dual SIM Feature",3199,(5),https://www.kilimall.co.ke//listing/1000190346-itel-flip-1-24-folding-phone-1200mah-dual-sim-feature?skuId=10000503089
New Itel 2163 with Wireless FM Radio Dual Sim Feature Phone,1400,(0),https://www.kilimall.co.ke//listing/1000301514-new-itel-2163-with-wireless-fm-radio-dual-sim-feature-phone?skuId=10001038495
"[First Lanuch]Itel A06 3G Network 32GB+(2+2)4GB RAM 6.6"" Screen Dual SIM 8MP+5MP Camera 4000mAh Baterry Fingerprint And Face Unlock Smart Phones",7885,(0),https://www.kilimall.co.ke//listing/1000376334-first-lanuchitel-a06-3g-network-32gb224gb-ram-66-screen-dual-sim-8mp5mp-camera-4000mah-baterry-fingerprint-and-face-unlock-smart-phones?skuId=10001396733
"Itel 2160,,1.77"",,(dual Sim),,torch,,wireless Fm,,black,,w.s"" .Planning to buy an affordable feature phone? Get the suer cool itel 2160 from Kilimall Kenya! This phone has a camera, Radio, 2G internet",1999,(0),https://www.kilimall.co.ke//listing/1000331110-itel-2160177dual-simtorchwireless-fmblackws-planning-to-buy-an-affordable-feature-phone-get-the-suer-cool-itel-2160-from-kilimall-kenya-this-phone-has-a-camera-radio-2g-internet?skuId=10001147872
"Itel P55 128GB + 12(4+8)GB RAM 6.6"" Display Phone Dual SIM 50MP+8MP Camera 5000mAh Baterry Fingerprint And Face 4G Network Unlock Smart Phones+ FREEBIES",11199,(0),https://www.kilimall.co.ke//listing/1000422452-itel-p55-128gb-1248gb-ram-66-display-phone-dual-sim-50mp8mp-camera-5000mah-baterry-fingerprint-and-face-4g-network-unlock-smart-phones-freebies?skuId=10001597713
"Itel A50C 4G Network 32GB+(2+2)4GB RAM 6.6"" Screen Phone Dual SIM 8MP+5MP Camera  4000mAh Baterry Fingerprint And Face Unlock Smart Phones",8199,(0),https://www.kilimall.co.ke//listing/1000252449-itel-a50c-4g-network-32gb224gb-ram-66-screen-phone-dual-sim-8mp5mp-camera-4000mah-baterry-fingerprint-and-face-unlock-smart-phones?skuId=10000765923
"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G",10499,(0),https://www.kilimall.co.ke//listing/1000344134-itel-a60s-66-128gb-4gb-ram-dual-sim-5000mah-4g?skuId=10001199423
"Itel A60s, 6.6"", 64GB + 4GB RAM, Dual SIM, 5000mAh, 4G",9599,(0),https://www.kilimall.co.ke//listing/1000344142-itel-a60s-66-64gb-4gb-ram-dual-sim-5000mah-4g?skuId=10001199434
"SPECIAL OFFER Itel 2163 1.8"" Display GSM+GSM Bluetooth Feature Phones Display 1000mAh, Bright Torch, Wireless FM- Dual Sim katululu phone",1199,(0),https://www.kilimall.co.ke//listing/1000211295-special-offer-itel-2163-18-display-gsmgsm-bluetooth-feature-phones-display-1000mah-bright-torch-wireless-fm-dual-sim-katululu-phone?skuId=10000575653
"SPECIAL OFFER itel 2160 1.77"" Dual SIM Feature Phones kabambe Katululu Camera Torch 1000 MAh Battery wireless FM",1388,(10),https://www.kilimall.co.ke//listing/1000224658-special-offer-itel-2160-177-dual-sim-feature-phones-kabambe-katululu-camera-torch-1000-mah-battery-wireless-fm?skuId=10000620929
"Itel A70, 6.6"", 256GB + 8GB RAM (Dual SIM), 5000mAh",13299,(0),https://www.kilimall.co.ke//listing/1000344088-itel-a70-66-256gb-8gb-ram-dual-sim-5000mah?skuId=10001199303
"ITEL 6360, SMART TOUCH BUTTON DUAL SIM 2MP CAMERA, 64MB + 64MB,UPTO 32Gb, 2.8""SCREEN LONG STANDBY 2000mAh 40 DAYS FEATURE PHONE",3899,(3),https://www.kilimall.co.ke//listing/2994353-itel-6360-smart-touch-button-dual-sim-2mp-camera-64mb-64mbupto-32gb-28screen-long-standby-2000mah-40-days-feature-phone?skuId=10000242350
"Itel A70 6.6""HD 8GB(3+5)GB RAM 128GB ROM 5000mAh  Android 12 Type-C  13MP AI dual 4G- Mobile Smartphone",9799,(4),https://www.kilimall.co.ke//listing/2991943-itel-a70-66hd-8gb35gb-ram-128gb-rom-5000mah-android-12-typec-13mp-ai-dual-4g-mobile-smartphone?skuId=19786370
"SPECIAL OFFER itel 2166 2.0"" Display Dual SIM Feature Phones kabambe Katululu Camera Torch 1000 MAh Battery wireless FM",1419,(0),https://www.kilimall.co.ke//listing/1000224401-special-offer-itel-2166-20-display-dual-sim-feature-phones-kabambe-katululu-camera-torch-1000-mah-battery-wireless-fm?skuId=10000619998
"itel 2166 1.8"" Dual SIM Feature Phones kabambe Katululu Camera Torch 1000 MAh Battery wireless FM",1388,(2),https://www.kilimall.co.ke//listing/1000224683-itel-2166-18-dual-sim-feature-phones-kabambe-katululu-camera-torch-1000-mah-battery-wireless-fm?skuId=10000621028
"Itel S24 8GB(4+4)RAM + 128GB ROM, 6.6"" Inch display, 108MP + AI CAM dual Flash Light, 4G network, 5000mAh Battery capacity 18W Type-C charge, Mediatek Helio G91 processor, Android smartphone",14188,(1),https://www.kilimall.co.ke//listing/1000167174-itel-s24-8gb44ram-128gb-rom-66-inch-display-108mp-ai-cam-dual-flash-light-4g-network-5000mah-battery-capacity-18w-typec-charge-mediatek-helio-g91-processor-android-smartphone?skuId=10000420951
"(On Offer) New itel 2163 1.8"" Display Wireless FM Dual SIM Opera Mini Bright Torch Kabambe katululu button feature Phone",1399,(0),https://www.kilimall.co.ke//listing/1000318712-on-offer-new-itel-2163-18-display-wireless-fm-dual-sim-opera-mini-bright-torch-kabambe-katululu-button-feature-phone?skuId=10001102999
