Name,Price,Rating,Link
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Black (2YRS WRTY)",9094,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP3X8UO8NAFAMZ-389084512&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black, (2YRs WRTY)",9095,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=SA948MP3S06FDNAFAMZ-357007670&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRs WRTY)",11999,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP3X31YONAFAMZ-417046342&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim",4700,3.8 out of 5,https://www.jumia.co.ke/villaon-v20se-5.0-4gb-ram32gb-storage-8mp-camera-3000mah-dual-sim-278569498.html
"VILLAON V20, 6.3"", 32GB + 2GB RAM, (Dual SIM), 3000mAh, Shadow Black (1YR WRNTY)",4430,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=VI724MP44DZA3NAFAMZ-423464669&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 7",9990,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP2D76ARNAFAMZ-197798985&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Lake Cyan",13999,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4UZBZYNAFAMZ-355787478&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Bontel 3310, 1.77'' 1000 MAh Battery, FM Radio, Black",990,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=BO638MP198HYVNAFAMZ-69964760&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"VILLAON V20, 6.3"", 32GB + 2GB RAM, (Dual SIM), 3000mAh, Tranquil Blue (1YR WRNTY)",4430,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=VI724MP4Y5NIZNAFAMZ-423464676&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange",13999,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP3HKCSENAFAMZ-355787437&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue",13999,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4FFX3YNAFAMZ-355787405&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starlit Black",12140,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IN213MP3V58OLNAFAMZ-402253519&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
Rashnik 3 Column Portable Wardrobe - Brown Cover,1920,3.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=RA589FD494YLENAFAMZ-377298905&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black",22300,4.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP24NV62NAFAMZ-262077760&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,13899,3.4 out of 5,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-4gb-128gb-android-14-dual-sim-nb8-275643974.html
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts",11399,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP4OJ8G4NAFAMZ-278044258&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno POP 8, 6.6"", 64GB ROM +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Mystery White (1YR WRTY)",9948,3.9 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP3X2T5YNAFAMZ-390836401&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Starry Blue (2YRs WRTY)",12999,4.1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP4W869DNAFAMZ-405761116&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Nokia Nokia106 1.77"" Dual SIM- Black",1950,4.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=NO891MP3USMU8NAFAMZ-393036127&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi 13C , 6.74"" 8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) -+f9 +SWATCH (13Months)",17299,3.9 out of 5,https://www.jumia.co.ke/xiaomi-redmi-13c-6.74-8gb-ram-256gb-rom-50mp-ai-triple-camera-5000mah-dual-sim-f9-swatch-13months-171305724.html
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Morion Grey",5277,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP3OPK1QNAFAMZ-355787461&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Star Blue (2YRs WRTY)",9094,4.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP42BK42NAFAMZ-410257049&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel 2163, 1.8""screen  1000mAh, Bright Torch...Wireless FM- Dual Sim//Blue",1118,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP0O6889NAFAMZ-73707981&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Oppo Refurbished OPPO F7 6.2 ""FHD+ 4GB+128GB Silver",7444,3.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=OP981MP4M9ZECNAFAMZ-382974019&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi A3 Pro, 6.88"", 4GB RAM + 128GB (Dual SIM), 5160mAh, Navy Blue (2YRS WRTY)",11999,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP3R4PWWNAFAMZ-417046341&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green",5277,3.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4HAD32NAFAMZ-355787443&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black+ Smartwatch & F9 Earbuds",22998,4.7 out of 5,https://www.jumia.co.ke/xiaomi-redmi-note-13-6.67-256gb-8gb-ram-108mp-dual-sim-5000mah-black-smartwatch-f9-earbuds-281496143.html
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 8",10980,4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP2J5ICJNAFAMZ-197798986&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Sage Green (2 YRs WRTY)",12999,4.5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=XI996MP3GBU89NAFAMZ-405764121&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black",11699,3.9 out of 5,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-4gb-ram-64gb-rom-dual-sim-50mp-camera-5000mah-black-185881786.html
"Tecno SPARK 20,6.6 HD+,,50MP, 4GB RAM,128GB ,DUAL SPEAKERS+WSP",15499,4.1 out of 5,https://www.jumia.co.ke/tecno-spark-206.6-hd50mp-4gb-ram128gb-dual-speakerswsp-175993100.html
"Tecno T529, screen Size28, LCD Screen, GSM, 008MP, 2500mAh Black",2550,4.4 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP17PM55NAFAMZ-73997062&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Tecno POP 8, 6.6"", 2GB RAM + 64GB, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",11999,4.8 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=TE685MP40NV4GNAFAMZ-411405617&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
HOMMY 3 Column Portable Wardrobe - Brown Cover,3569,3.7 out of 5,https://www.jumia.co.ke/hommy-3-column-portable-wardrobe-brown-cover-34974676.html
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black",10711,4.1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=FR407MP2OKL3ANAFAMZ-142510548&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Vert Menthe",12200,5 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IT910MP4XAX9ANAFAMZ-355787408&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim TYHJ",5429,3.2 out of 5,https://www.jumia.co.ke/villaon-v20-se-5.0-4gb-ram32gb-storage-8mp-camera-3000mah-dual-sim-tyhj-265649052.html
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Horizon Gold",12140,4.3 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=IN213MP3DA8J9NAFAMZ-402253516&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
"Samsung Galaxy A05s, 6.7"", 128GB + 4GB (Dual SIM), 5000mAh, Silver",18699,4.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=SA948MP22L3JQNAFAMZ-253566226&return=%2Fcatalog%2F%3Fq%3Dphones%26page%3D1
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT BN,17299,4.5 out of 5,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-8gb-ram-256gb-rom-android-14-dual-sim-ww-vvt-bn-275368030.html
