Brand,Price,Rating,Link
"[Black Friday Deals] TECNO SPARK 20C 256GB +12(4+8)GB Large Storage 90Hz 6.6"" Dynamic Port 50MP Stereo Dual Speakers 5000mAh 18W Type-C Dual SIM 4G Smart Phones Side Fingerprint phone",13799,(289),https://www.kilimall.co.ke//listing/1000166969-black-friday-deals-tecno-spark-20c-256gb-1248gb-large-storage-90hz-66-dynamic-port-50mp-stereo-dual-speakers-5000mah-18w-typec-dual-sim-4g-smart-phones-side-fingerprint-phone?skuId=10000713814
"XIAOMI Redmi 14C 128GB Storage Upto 8(4+4)GB Ram 50MP AI Dual Camera Immersive 6.88"" UHD Display Upto 120Hz Refresh Rate Dual Sim 5160mAh (typ) Battery Elegant glass back cover  Smart Phone",12910,(65),https://www.kilimall.co.ke//listing/1000332494-xiaomi-redmi-14c-128gb-storage-upto-844gb-ram-50mp-ai-dual-camera-immersive-688-uhd-display-upto-120hz-refresh-rate-dual-sim-5160mah-typ-battery-elegant-glass-back-cover-smart-phone?skuId=10001183746
"[Black Friday Deals] New Arrival TECNO POP 9 128GB + 6(3+3)GB 4.5G Fast Network 6.6"" 120Hz Dual Speakers IP54 Waterproof 13MP 5000mAh Type-C Android 14 Dual SIM Smart Phones Side Fingerprint phone",11199,(32),https://www.kilimall.co.ke//listing/1000332146-black-friday-deals-new-arrival-tecno-pop-9-128gb-633gb-45g-fast-network-66-120hz-dual-speakers-ip54-waterproof-13mp-5000mah-typec-android-14-dual-sim-smart-phones-side-fingerprint-phone?skuId=10001152290
"[Black Friday Deals] Itel S23 128GB + 8(4+4)GB RAM 6.6"" HD+ 90HZ Refresh Rate Screen Phone Dual SIM 4G Network 50MP AI Camera Fingerprint Unlock Smart Phones",8999,(716),https://www.kilimall.co.ke//listing/2859425-black-friday-deals-itel-s23-128gb-844gb-ram-66-hd-90hz-refresh-rate-screen-phone-dual-sim-4g-network-50mp-ai-camera-fingerprint-unlock-smart-phones?skuId=19432672
"[Black Friday Deals] New Arrival TECNO SPARK 30C 128GB +8(4+4)GB 120Hz 6.6"" Dynamic Port 50MP Dual Speakers 7.8mm Ultra Slim 5000mAh 18W Type-C Dual SIM 4G Smart Phones Side Fingerprint phone",13999,(31),https://www.kilimall.co.ke//listing/1000332350-black-friday-deals-new-arrival-tecno-spark-30c-128gb-844gb-120hz-66-dynamic-port-50mp-dual-speakers-78mm-ultra-slim-5000mah-18w-typec-dual-sim-4g-smart-phones-side-fingerprint-phone?skuId=10001153016
[Black Friday Deals] Itel S23 Plus 128GB + 8(4+4)GB RAM 6.78'' Curved Screen Brand New Dual SIM 4G Phone 50MP+32MP AI Camera 5000mAh 18W Charging Under Display Fingerprint NFC S23+ Smart Phones,12999,(69),https://www.kilimall.co.ke//listing/3000123-black-friday-deals-itel-s23-plus-128gb-844gb-ram-678-curved-screen-brand-new-dual-sim-4g-phone-50mp32mp-ai-camera-5000mah-18w-charging-under-display-fingerprint-nfc-s23-smart-phones?skuId=10000259121
"[Black Friday Deals] Samsung Galaxy A05 128GB+4GB 50MP Camera 6.7"" Android 13 MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Smart Phones phone",12999,(174),https://www.kilimall.co.ke//listing/3090962-black-friday-deals-samsung-galaxy-a05-128gb4gb-50mp-camera-67-android-13-mtk-helio-g85-12nm-5000mah-25w-typec-charge-smart-phones-phone?skuId=20048091
"Brand New TECNO POP 8 128GB + 8(4+4)GB 6.6"" 90Hz Hole Screen Dynamic Port Stereo Dual Speakers 13MP 5000mAh Type-C Android 13 Dual SIM Smart Phones Side Fingerprint Unlock phone",9999,(362),https://www.kilimall.co.ke//listing/3011066-brand-new-tecno-pop-8-128gb-844gb-66-90hz-hole-screen-dynamic-port-stereo-dual-speakers-13mp-5000mah-typec-android-13-dual-sim-smart-phones-side-fingerprint-unlock-phone?skuId=10001419100
"[Black Friday Deals] Infinix Hot 40i 128GB+8(4+4)GB 6.56"" Screen Phone 5000 mAh Battery Capacity With 18W Type-C Charging 50MP Dual AI Camera Fingerprint Lock Smart Phones",11899,(685),https://www.kilimall.co.ke//listing/3042128-black-friday-deals-infinix-hot-40i-128gb844gb-656-screen-phone-5000-mah-battery-capacity-with-18w-typec-charging-50mp-dual-ai-camera-fingerprint-lock-smart-phones?skuId=19924465
Refurbished OPPO A59s  F1s Smart Phone 5.5 inches 3075mAh 16MP+13MP 4GB+32GB 2G/3G/4G LTE Dual SIM card Unlocked phones,5350,(288),https://www.kilimall.co.ke//listing/2563008-refurbished-oppo-a59s-f1s-smart-phone-55-inches-3075mah-16mp13mp-4gb32gb-2g3g4g-lte-dual-sim-card-unlocked-phones?skuId=18473706
Refurbished OPPO Reno 2z 128GB+8GB 6.5 inch 48MP+16MP Camera Face Unlock Dual SIM Smart Phones,14000,(361),https://www.kilimall.co.ke//listing/2543007-refurbished-oppo-reno-2z-128gb8gb-65-inch-48mp16mp-camera-face-unlock-dual-sim-smart-phones?skuId=10000479083
"BRAND NEW Xiaomi Redmi 14C 8(4+4)GB RAM + 128GB Storage 6.88"" 120Hz HD+ IPS display 4G Dual Sim 5160mAh Battery 50MP triple main camera Android 14 Smart Phones Mobile Phone +FREE GIFTS",13750,(22),https://www.kilimall.co.ke//listing/1000352481-brand-new-xiaomi-redmi-14c-844gb-ram-128gb-storage-688-120hz-hd-ips-display-4g-dual-sim-5160mah-battery-50mp-triple-main-camera-android-14-smart-phones-mobile-phone-free-gifts?skuId=10001246887
"[Black Friday Deals] Samsung Galaxy A05S 128GB+4GB 50MP Triple Camera Snapdragon 680 6.7"" 90Hz Display Android 13 5000mAh 25W Type-C Charge Smart Phones phone",15499,(93),https://www.kilimall.co.ke//listing/3056589-black-friday-deals-samsung-galaxy-a05s-128gb4gb-50mp-triple-camera-snapdragon-680-67-90hz-display-android-13-5000mah-25w-typec-charge-smart-phones-phone?skuId=19964623
[New Arrivals] Xiaomi Redmi 14C Smart Phone 4GB RAM + 128GB Storage 4G Network Dual SIM 6.88 inch 120Hz LCD Screen 50MP Camera 18W Tpye-C Charging 5160mAh Battery Fingerprint&Face Smart Phones,13699,(61),https://www.kilimall.co.ke//listing/1000335720-new-arrivals-xiaomi-redmi-14c-smart-phone-4gb-ram-128gb-storage-4g-network-dual-sim-688-inch-120hz-lcd-screen-50mp-camera-18w-tpyec-charging-5160mah-battery-fingerprintface-smart-phones?skuId=10001166562
"[Super Brand] New Samsung Galaxy A05 128GB+4GB 50MP Camera 6.7"" 90Hz MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Android 13 Smart Phones phone",11780,(144),https://www.kilimall.co.ke//listing/1000216765-super-brand-new-samsung-galaxy-a05-128gb4gb-50mp-camera-67-90hz-mtk-helio-g85-12nm-5000mah-25w-typec-charge-android-13-smart-phones-phone?skuId=10000748044
Refurbished oppo a37 Smartphone 100% original Dual Sim Card 16GB+ 2GB Smartphone 5.0 mp +8.0 mp 2630 mAh 1920X1080 Dual Sim Card Smart Phone,3199,(302),https://www.kilimall.co.ke//listing/2578361-refurbished-oppo-a37-smartphone-100-original-dual-sim-card-16gb-2gb-smartphone-50-mp-80-mp-2630-mah-1920x1080-dual-sim-card-smart-phone?skuId=18543065
Refurbished OPPO A83 phone 5.7 inches 4GB RAM+32/64GB ROM Storage Dual SIM 13MP Rear Camera 3180 mAh Battery Smart Phones Blue 64GB,4299,(275),https://www.kilimall.co.ke//listing/2649206-refurbished-oppo-a83-phone-57-inches-4gb-ram3264gb-rom-storage-dual-sim-13mp-rear-camera-3180-mah-battery-smart-phones-blue-64gb?skuId=20049807
