Brand,Price,Rating,Link
ASSKLO rubber flat shoes canvas shoes sports shoes classic women's shoes ladies shoes slip resistant breathable denim casual shoes women's running shoes student and girl sneakers fashion gifts,999,(1115),https://www.kilimall.co.ke//listing/2331879-assklo-rubber-flat-shoes-canvas-shoes-sports-shoes-classic-womens-shoes-ladies-shoes-slip-resistant-breathable-denim-casual-shoes-womens-running-shoes-student-and-girl-sneakers-fashion-gifts?skuId=10000625862
Size 41-45 Men's fashion sneakers mesh surface outdoor sports shoes Students comfortable  shoes Boys walking shoes hiking shoes running shoes Casual shoes,1299,(560),https://www.kilimall.co.ke//listing/2663257-size-4145-mens-fashion-sneakers-mesh-surface-outdoor-sports-shoes-students-comfortable-shoes-boys-walking-shoes-hiking-shoes-running-shoes-casual-shoes?skuId=19641940
Ladies Shoes Fish Mouth Sandals Women's Style Roman Women Thick Heels Versatile Mid-heel Thick Comfortable Non-slip Deodorant Beach Fashion Beautiful Girls Shoe Heel Open Shoes Black Lady Official,899,(954),https://www.kilimall.co.ke//listing/2430024-ladies-shoes-fish-mouth-sandals-womens-style-roman-women-thick-heels-versatile-midheel-thick-comfortable-nonslip-deodorant-beach-fashion-beautiful-girls-shoe-heel-open-shoes-black-lady-official?skuId=19467597
SXCHEN New Men’s Shoes Martin Boots Trendy Shoes High-top Tooling Boots Wild Trend Plus Boy Fashion Sneakers Basketball Shoes Run Sports Mountaineering Casual Outdoor Trave Men&apos;s Shoes Air Force,1399,(591),https://www.kilimall.co.ke//listing/2146010-sxchen-new-mens-shoes-martin-boots-trendy-shoes-hightop-tooling-boots-wild-trend-plus-boy-fashion-sneakers-basketball-shoes-run-sports-mountaineering-casual-outdoor-trave-menaposs-shoes-air-force?skuId=16263771
Women's board shoes sports shoes  girls athletic casual shoes classic ladies running shoes artificial leather PU leather white shoes students rose embroidery,1099,(418),https://www.kilimall.co.ke//listing/2592484-womens-board-shoes-sports-shoes-girls-athletic-casual-shoes-classic-ladies-running-shoes-artificial-leather-pu-leather-white-shoes-students-rose-embroidery?skuId=18595233
ASSKLO Men's sandals New fashion summer men's wear-resistant non-slip anti-odor driving shoes can soak couple beach shoes,899,(202),https://www.kilimall.co.ke//listing/2960866-assklo-mens-sandals-new-fashion-summer-mens-wearresistant-nonslip-antiodor-driving-shoes-can-soak-couple-beach-shoes?skuId=10000440453
ASSKLO New sports style women's shoes ladies shoes with leather upper girls shoes student white shoes running shoes INS trendy shoes,1199,(105),https://www.kilimall.co.ke//listing/1000171286-assklo-new-sports-style-womens-shoes-ladies-shoes-with-leather-upper-girls-shoes-student-white-shoes-running-shoes-ins-trendy-shoes?skuId=10000848926
SXCHEN Men’s Shoes Men Slippers Boys Outer Wear Home Non-Slip Thick-soled Indoor Slippers and Slippers Lightweight Outdoor Sports Unisex Breathable Anti-skid Dad Beach Walking Shoe Party,799,(389),https://www.kilimall.co.ke//listing/2298211-sxchen-mens-shoes-men-slippers-boys-outer-wear-home-nonslip-thicksoled-indoor-slippers-and-slippers-lightweight-outdoor-sports-unisex-breathable-antiskid-dad-beach-walking-shoe-party?skuId=17199627
SXCHEN New Women's Shoes Real Soft Leather Martin Boots Female British Style All-match Thick-soled Ankle bo Fashion Ladies Casual Boots Elegant Square heel Vintage Boots Cool Shoes Girl Combat,1499,(502),https://www.kilimall.co.ke//listing/2298290-sxchen-new-womens-shoes-real-soft-leather-martin-boots-female-british-style-allmatch-thicksoled-ankle-bo-fashion-ladies-casual-boots-elegant-square-heel-vintage-boots-cool-shoes-girl-combat?skuId=17200361
SXCHEN Women's Shoes Boots Over-The-Knee Ladies Shoes Long Boots Women Boots New Edition Boots Show Slim Knee High Elastic Suede Boots for Women Boots For Girl Party Gift Style Boots In Black Fashion,1199,(242),https://www.kilimall.co.ke//listing/2579889-sxchen-womens-shoes-boots-overtheknee-ladies-shoes-long-boots-women-boots-new-edition-boots-show-slim-knee-high-elastic-suede-boots-for-women-boots-for-girl-party-gift-style-boots-in-black-fashion?skuId=19467593
