Name,Price,Rating,Link
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-48,946,4.1 out of 5,https://www.jumia.co.ke/ashion-2024-mens-casual-shoes-big-size-sneakers-39-48-156414883.html
Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,1059,4 out of 5,https://www.jumia.co.ke/fashion-ladies-sneaker-shoes-causal-shoes-buy-a-size-larger-than-usual-white-58192703.html
Fashion Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,1190,3.9 out of 5,https://www.jumia.co.ke/fashion-mens-sneakers-shoes-sports-shoes-breathable-running-shoes-169380939.html
Fashion Sneakers Women Shoes Women's Shoes Ladies,523,3.6 out of 5,https://www.jumia.co.ke/sneakers-women-shoes-womens-shoes-ladies-fashion-mpg432844.html
Fashion Mens Sneakers Shoes Sports Shoes Breathable Running Shoes -White,1190,3.9 out of 5,https://www.jumia.co.ke/fashion-mens-sneakers-shoes-sports-shoes-breathable-running-shoes-white-169380794.html
Fashion Women Shoes Ladies Shoes For Women Shoe,531,3.5 out of 5,https://www.jumia.co.ke/fashion-women-shoes-ladies-shoes-for-women-shoe-54066767.html
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,1190,3.9 out of 5,https://www.jumia.co.ke/waanzilish-mens-sneakers-shoes-outdoor-hiking-shoes-non-slip-sports-shoes-breathable-blue-85254468.html
Fashion Shoes For Women Sneakers Ladies Shoes Sneakers,491,3.6 out of 5,https://www.jumia.co.ke/fashion-shoes-for-women-sneakers-ladies-shoes-sneakers-58975592.html
Fashion Mens Sneakers Non Slip Lightweight Breathable  Running Shoes,454,3.2 out of 5,https://www.jumia.co.ke/fashion-mens-sneakers-non-slip-lightweight-breathable-running-shoes-192453770.html
Fashion Sneakers Women Shoes Women's Shoes Ladies,491,3.4 out of 5,https://www.jumia.co.ke/sneakers-women-shoes-womens-shoes-ladies-fashion-mpg423242.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,491,3.2 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-171397743.html
Fashion Women's Shoes Sneakers Women Shoes Ladies,545,3.6 out of 5,https://www.jumia.co.ke/fashion-womens-shoes-sneakers-women-shoes-ladies-69406441.html
Fashion Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,1092,4.2 out of 5,https://www.jumia.co.ke/fashion-couple-canvas-low-top-lace-up-shoes-classic-casual-sneakers-black-154042530.html
Fashion New Women Shoes Sports Ladies Shoes Women Sneakers,1383,4.4 out of 5,https://www.jumia.co.ke/new-women-shoes-sports-ladies-shoes-women-sneakers-fashion-mpg332460.html
Fashion Mens Sneaker Causal Breathable Shoes Light Weight Walking Shoes,1190,4.1 out of 5,https://www.jumia.co.ke/fashion-mens-sneaker-causal-breathable-shoes-light-weight-walking-shoes-169380651.html
Women Sports Shoes Lightweight Non-slip Breathable,390,3.5 out of 5,https://www.jumia.co.ke/generic-women-sports-shoes-lightweight-non-slip-breathable-200127816.html
ALagzi 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,1693,4.2 out of 5,https://www.jumia.co.ke/alagzi-2024-mens-casual-high-top-shoes-running-sneakers-beige-48872199.html
Fashion Women Sneakers Shoes Ladies Sneakers Women Shoe,699,3.5 out of 5,https://www.jumia.co.ke/fashion-women-sneakers-shoes-ladies-sneakers-women-shoe-59094885.html
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,729,3.6 out of 5,https://www.jumia.co.ke/fashion-slipon-shoes-loafers-shoes-canvas-shoes-casual-shoes-mens-sneaker-black-67456421.html
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,545,3.7 out of 5,https://www.jumia.co.ke/fashion-women-shoes-ladies-shoes-sneakers-women-shoes-44198081.html
ALagzi Men's Trendy Sneakers - White,1223,3.9 out of 5,https://www.jumia.co.ke/alagzi-mens-trendy-sneakers-white-121322719.html
Fashion Sneakers Women Shoes Women's Shoes,501,3.5 out of 5,https://www.jumia.co.ke/sneakers-women-shoes-womens-shoes-fashion-mpg423241.html
ALagzi New Young Fashion Trendy Board Shoes - Blue,1447,4 out of 5,https://www.jumia.co.ke/alagzi-new-young-fashion-trendy-board-shoes-blue-162376810.html
Fashion Ladies Shoes Women Shoes Sneakers Women,454,3.5 out of 5,https://www.jumia.co.ke/fashion-ladies-shoes-women-shoes-sneakers-women-243909914.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,537,3.1 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-171397762.html
Women's Casual Sneakers Comfortable Breathable Lace-up Shoes,390,3.9 out of 5,https://www.jumia.co.ke/generic-womens-casual-sneakers-comfortable-breathable-lace-up-shoes-200127801.html
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,1000,3.9 out of 5,https://www.jumia.co.ke/fashion-men-shoes-sneakers-skateboarding-shoes-sport-shoes-running-sneakers-casual-shoes-57097994.html
Fashion Women's Casual Sneakers Ladies Shoes,1092,4.2 out of 5,https://www.jumia.co.ke/fashion-womens-casual-sneakers-ladies-shoes-171398202.html
Fashion Men's Classic Casual Board Shoes - White,1364,4 out of 5,https://www.jumia.co.ke/fashion-mens-classic-casual-board-shoes-white-194397467.html
ALagzi Men's Hot Selling Fashion Board Shoes - White Khaki,1265,3.4 out of 5,https://www.jumia.co.ke/alagzi-mens-hot-selling-fashion-board-shoes-white-khaki-169371564.html
Fashion Women's Sports Shoes Fashion Sneakers Canvas Shoe,727,3.4 out of 5,https://www.jumia.co.ke/fashion-womens-sports-shoes-fashion-sneakers-canvas-shoe-262311397.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,590,4.2 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-260816806.html
Fashion Women Shoes Ladies Shoes Sneakers Women,499,4.2 out of 5,https://www.jumia.co.ke/fashion-women-shoes-ladies-shoes-sneakers-women-206857513.html
